metric,P10,P25,P50,P75,P90,Mean,Std
company_id,10.1,23.75,46.5,69.25,82.9,46.5,26.70205984563738
financial_ratio_id,141.4,332.5,651.0,969.5,1160.6000000000001,651.0,373.8288378389233
company_id,10.1,23.75,46.5,69.25,82.9,46.5,26.70205984563738
year,2024.0,2024.0,2024.0,2024.0,2024.0,2024.0,0.0
net_profit_margin_pct,6.239999999999999,6.835,7.92,9.120000000000001,9.788999999999998,7.971413043478259,1.3189644468808437
operating_profit_margin_pct,12.100000000000001,13.999999999999998,16.0,18.0,19.900000000000006,15.945652173913043,2.594855986750179
return_on_equity_pct,7.450593126385809,8.189539992826399,9.35438194077901,11.113207154905268,11.965738590948883,9.600617520158051,1.675641967415711
return_on_capital_employed_pct,12.953039139248402,14.470671677308099,16.804716758325178,19.31306257439909,20.96712076534084,16.924592440326165,3.058189621173151
return_on_assets_pct,5.495639593761755,6.177884548758283,7.17761427081821,8.265706497741244,9.179175934349267,7.266216584211205,1.371317333300332
debt_to_equity,0.0899008333516568,0.10778710289649408,0.1338672128131075,0.16060913705583757,0.18989250814332248,0.13691526273498408,0.03868310008958872
high_leverage_flag,0.0,0.0,0.0,0.0,0.0,0.0,0.0
interest_coverage,11.110344827586207,14.220394736842104,17.466995073891624,23.082692307692305,29.07796822742475,19.091550743255624,6.756933916385633
icr_warning_flag,0.0,0.0,0.0,0.0,0.0,0.0,0.0
net_debt,20.0,23.0,29.0,35.0,38.0,28.934782608695652,6.032520563398528
asset_turnover,0.801085143940195,0.8595682737797123,0.9166007035029953,0.9696149234744136,1.0125536151202068,0.9116862564273218,0.08169753334253015
free_cash_flow_cr,5.227511999999998,8.209900000000001,12.09596,16.81912,21.889728000000016,12.786006413043475,6.754022566806136
capex_cr,4.656,6.0525,8.985,12.2875,15.010000000000003,9.415000000000001,4.005043935224298
earnings_per_share,1.383936,1.7136000000000002,2.024895,2.496,2.8937520000000005,2.1078092391304355,0.5653027815585876
book_value_per_share,16.415,18.4625,21.875,25.2875,27.335,21.875,4.0053089768456065
dividend_payout_ratio_pct,25.0,25.0,25.0,25.0,25.0,25.0,0.0
total_debt_cr,20.0,23.0,29.0,35.0,38.0,28.934782608695652,6.032520563398528
cash_from_operations_cr,13.937273999999999,16.69635,21.231180000000002,26.685067500000002,32.43520800000001,22.20100641304348,7.460080651463034
revenue_cagr_3yr,1.51773,1.8005749999999998,2.17935,2.64905,3.1363700000000003,2.256765217391304,0.6122639762219177
revenue_cagr_5yr,1.54161,1.8344749999999999,2.22935,2.723875,3.2425400000000004,2.314905434782609,0.6445491067940748
pat_cagr_5yr,1.54161,1.8344749999999999,2.22935,2.723875,3.2425400000000004,2.314905434782609,0.6445491067940748
eps_cagr_5yr,1.54161,1.8344749999999999,2.22935,2.723875,3.2425400000000004,2.314905434782609,0.6445491067940748
cfo_quality_score,0.8,0.9,1.0,1.2,1.3,1.047826086956522,0.17063440828277962
fcf_conversion_rate,13.375000000000005,22.50714285714286,28.288596491228073,38.35147058823529,46.28714285714287,29.792802488301543,11.971103281124062
composite_quality_score,6.31452,7.032225,8.09805,9.15775,9.85354,8.086570652173913,1.2910677816526706
revenue_cr,191.1,219.75,263.5,310.25,335.9,264.5,55.248787963434744
fcf_cagr_5yr,5.227511999999998,8.209900000000001,12.09596,16.81912,21.889728000000016,12.786006413043475,6.754022566806136
